"Name","Runtime","Created","val/segmentation/constraint/violating_samples","val/segmentation/constraint/total_samples","val/registration/constraint/total_samples","val/registration/constraint/violating_samples","val_extra/registration/iou/warped_vs_gt_epoch","val/registration/iou/warped_vs_gt_epoch","val_extra/segmentation/iou/pred_vs_gt_epoch","val/segmentation/iou/pred_vs_gt_epoch","seed","mode","modality","val_extra/registration/constraint/total_samples","val_extra/registration/constraint/violating_samples","val_extra/registration/constraint/violation_rate_epoch","val_extra/registration/constraint/violation_rate_step","val_extra/segmentation/constraint/total_samples","val_extra/segmentation/constraint/violating_samples","val_extra/segmentation/constraint/violation_rate_epoch","val_extra/segmentation/constraint/violation_rate_step","ID","coupling","sdf_mode","learning_sample_strategy","validation_sample_strategy","aff_def_mode","segmentator_unlearned","special_tag","val_extra/epoch","epoch"
"ex3-initial_decoupled-BCE_OneSideSDFPlain-deformed-seed42","2587","2026-08-05T11:50:33.000Z","0","98","98","2","0.23517225682735443","0.9700809121131896","0.9633049368858336","0.9633049368858336","42","BCE_OneSideSDFPlain","deformed","98","98","1","1","98","0","0","0","r21z0wfd","","kornia","always_gt","no_gt","","false","kornia_vs_scipy","78","78"
"ex3-initial_decoupled-BCE_DSDF_MSE-deformed-seed42","2537","2026-08-05T11:57:31.000Z","0","98","98","1","0.368552029132843","0.9763064384460448","0.9629887938499452","0.9629887938499452","42","BCE_DSDF_MSE","deformed","98","98","1","1","98","0","0","0","mr7zwpdx","","kornia","always_gt","no_gt","","false","kornia_vs_scipy","79","79"
"ex3-initial_decoupled-OneSideSDFPlain_OneSideSDFPlain-deformed-seed42","2294","2026-08-05T12:19:32.000Z","1","98","98","2","0.2316805124282837","0.9779739379882812","0.963204860687256","0.963204860687256","42","OneSideSDFPlain_OneSideSDFPlain","deformed","98","98","1","1","98","1","0.010204081423580648","0","ygqkv23p","","kornia","always_gt","no_gt","","false","kornia_vs_scipy","70","70"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_OneSideSDFSQUARE-deformed-seed42","2175","2026-08-05T13:59:35.000Z","0","98","98","98","0.34689152240753174","0.8459327220916748","0.9630024433135986","0.9630024433135986","42","BCE_SDFTEMPLATE_OneSideSDFSQUARE","deformed","98","98","1","1","98","0","0","0","l1zjfi18","","kornia","always_gt","no_gt","","false","kornia_vs_scipy","98","98"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_OneSideSDFSQUARE-deformed-seed42","1853","2026-08-05T14:15:58.000Z","0","98","98","98","0.287761390209198","0.841051459312439","0.9632395505905152","0.9632395505905152","42","BCE_SDFTEMPLATE_OneSideSDFSQUARE","deformed","98","98","1","1","98","0","0","0","uu7e5uim","","kornia","always_gt","no_gt","","false","kornia_vs_scipy","81","81"
"ex3-initial_decoupled-BCE_OneSideSDFSquared-deformed-seed42","1648","2026-08-05T11:50:02.000Z","0","98","98","1","0.2621760368347168","0.9609782695770264","0.9619072675704956","0.9619072675704956","42","BCE_OneSideSDFSquared","deformed","98","98","1","1","98","0","0","0","ncirzt8z","","kornia","always_gt","no_gt","","false","kornia_vs_scipy","52","52"
"ex3-initial_decoupled-BCE_SDFTEMPLATE_MSE-deformed-seed42","1276","2026-08-05T13:58:36.000Z","0","98","98","0","0.26137182116508484","0.8738555908203125","0.9630414247512816","0.9630414247512816","42","BCE_SDFTEMPLATE_MSE","deformed","98","98","1","1","98","0","0","0","ggupgmsu","","kornia","always_gt","no_gt","","false","kornia_vs_scipy","60","60"
